Subject,pre-affective,post-affective,pre-cognitive,post-cognitive,pre-connative,post-connative,pre-PEB,post-PEB
Student21,3.67,4.67,4,3.75,3.5,4.33,3.86,4.25
Student22,2.67,4.67,3.5,3.75,3.5,4,3.86,3.75
Student23,3.67,4,2.5,4.25,4.5,4.33,4,3.25
Student24,2.33,5,4,3.5,3.5,3.33,3.57,3.75
Student25,3.67,4.67,3,4.25,4,4,4,3.25
Student26,4.33,4.33,3.5,3.75,4.5,4.67,3.86,4.25
Student27,4.33,4.33,4.5,4.5,4.5,4.67,4.43,4
Student28,4.33,4.33,3.5,4.5,4,4.33,4.14,4.25
Student29,4,4,4,3.25,3,3.33,3.14,3.75
Student30,3.67,4,2,3.75,4,3.33,3.71,4
Student31,4,4,3.5,4,3.5,4,3.71,3.5
Student32,3.33,4,2,3.25,4.5,3.67,4.14,3.5
Student33,3,3.67,3.5,3.75,3,3.67,4.14,3.5
Student34,3.33,4,2.5,4,3,4.33,3.86,3.5
Student35,2.67,4.67,3.5,4.5,4.5,4.67,4.29,4.5
Student36,2.67,4,3,4,4,4,3.43,3.5
Student37,4,4,3,4,4,4,3.57,3.5
Student38,4,4.33,2.5,3.75,4,4,4,3
Student39,3.67,4.33,3,4,3.5,4.33,3.57,4.25
Student40,4.67,4.67,3.5,4.25,4,4.67,3.86,4.25
