Subject,pre-affective,post-affective,pre-cognitive,post-cognitive,pre-connative,post-connative,pre-PEB,post-PEB
Student41,4.33,4.67,3,4,4,4.33,3.29,3.75
Student42,4.33,4,4.5,4.25,4,4.33,3.43,4.5
Student43,3.67,5,4,4,4.5,4.67,4.14,3.75
Student44,3.67,4.67,3.5,3.75,3,4,4,3.75
Student45,3.33,3.67,3.5,3.5,3.5,4,3.57,3.5
Student46,4,4.33,3,4,4.5,4,4.29,4.25
Student47,2.67,4.67,3.5,4,3.5,2.67,2.86,3.75
Student48,4,3,3,3,1.5,3,2.71,3
Student49,3.67,4,3,3.75,2.5,4,2.86,3.25
Student50,3,2.33,2,3,1,4.67,2.57,4
Student51,2.67,4,3,4,2.5,3.67,3.14,4
Student52,4.33,4.33,3,3,3,3.33,3.71,4
Student53,2.33,3.33,3.5,3.5,4,4.33,3.29,3.75
Student54,3.67,5,3.5,3.25,5,3.33,3.86,3.75
Student55,3.67,4,3,3.5,4,4,3,4.25
Student56,4,4,3.5,4,4,3.67,3.86,3.75
Student57,3.67,4.67,4,4.25,3.5,5,4,4
Student58,4.67,5,3,4,4,4.33,3.86,4
Student59,4.33,4.67,4.5,4.25,4.5,3.67,3.43,2.75
Student60,3.67,4,4,4.25,4.5,4.67,3.86,4
